Time,确诊,治愈,死亡,新增确诊,新增本土,新增无症状
2.14,3900,3714,7,6,0,0
2.15,3913,3725,7,13,0,0
2.16,3922,3744,7,9,0,1
2.17,3935,3760,7,13,0,0
2.18,3953,3771,7,18,0,3
2.19,3976,3784,7,23,0,0
2.20,4003,3787,7,27,0,5
2.21,4035,3794,7,32,0,1
2.22,4084,3804,7,49,0,8
2.23,4108,3812,7,24,0,8
2.24,4167,3820,7,59,0,23
2.25,4222,3830,7,55,0,20
2.26,4265,3841,7,43,0,12
2.27,4310,3851,7,45,0,11
2.28,4350,3863,7,40,0,15
3.1,4388,3871,7,38,1,18
3.2,4430,3879,7,42,3,24
3.3,4475,3888,7,45,2,35
3.4,4502,3900,7,27,3,26
3.5,4527,3908,7,25,0,38
3.6,4562,3973,7,35,3,61
3.7,4602,4000,7,40,4,61
3.8,4631,4032,7,29,3,72
3.9,4677,4050,7,46,4,92
3.10,4720,4067,7,43,11,74
3.11,4747,4087,7,27,5,87
3.12,4761,4113,7,14,1,65
3.13,4818,4146,7,57,41,130
3.14,4839,4161,7,21,9,133
3.15,4854,4194,7,15,5,198
3.16,4877,4227,7,23,8,156
3.17,4944,4281,7,67,57,205
3.18,4964,4307,7,20,8,372
3.19,4986,4428,7,22,17,494
3.20,5027,4472,7,41,24,736
3.21,5066,4612,7,39,31,868
3.22,5080,4635,7,14,4,981
3.23,5094,4716,7,14,4,982
3.24,5135,4779,7,41,29,1587
3.25,5182,4800,7,47,38,2233
3.26,5233,4833,7,51,45,2633
3.27,5293,4870,7,60,50,3454
3.28,5400,4898,7,107,96,4382
3.29,5729,4943,7,329,326,5658
3.30,6087,4972,7,358,355,5299
3.31,6452,4998,7,365,358,4145
4.1,6714,5037,7,262,260,6051
4.2,7158,5068,7,444,438,7789
4.3,7591,5098,7,433,425,8585
4.4,7862,5125,7,271,268,13088
4.5,8177,5166,7,315,311,16767
4.6,8506,5213,7,329,322,19661
4.7,9334,5270,7,828,824,20401
4.8,10351,5389,7,1017,1015,22611
4.9,11366,5616,7,1015,1006,23939
4.10,12283,5914,7,917,914,25173
4.11,13281,6305,7,998,994,22349
4.12,14471,6646,7,1190,1189,25141
4.13,17044,7387,7,2573,2573,25147
4.14,20244,7936,7,3200,3200,19873
4.15,23838,8911,7,3594,3590,19925
4.16,27078,9288,7,3240,3238,21582
4.17,29498,10021,10,2420,2417,19831
4.18,32582,11238,17,3084,3084,17334
4.19,35077,12923,24,2495,2494,16408
4.20,37712,14100,32,2635,2634,15863
4.21,39643,15836,43,1931,1931,15698
4.22,42379,17715,55,2736,2736,20635
4.23,43780,19958,94,1401,1401,19657
4.24,46252,22409,145,2472,2472,16984
4.25,47913,24352,197,1661,1661,15319
4.26,49519,26992,245,1606,1606,11956
4.27,50811,29302,292,1292,1292,9330
4.28,56300,31782,344,5489,5487,9547
4.29,57550,34593,391,1250,1249,8932
4.30,58339,37649,429,789,788,7086
5.1,59068,41891,461,729,727,6608
5.2,59342,45873,481,274,274,5396
5.3,59605,47742,497,263,260,4723
5.4,59868,49481,510,263,261,4390
5.5,60113,50871,522,245,245,4026
5.6,60366,52535,535,253,253,3961
5.7,60583,53476,543,217,215,3760
5.8,60907,54121,554,324,322,3626
5.9,61141,54968,560,234,234,2783
5.10,61370,55575,567,229,228,1260
5.11,61514,56008,572,144,144,1306
5.12,61741,56424,574,227,227,1871
5.13,61936,57146,575,195,194,1487
5.14,62104,57439,578,168,166,1205
